id,type,content,URL
22,1,"Trong trường hợp đặc biệt, để được lắp đặt, sử dụng còi, đèn không đúng với thiết kế của nhà sản xuất đối với từng loại xe cơ giới bạn phải đảm bảo yêu cầu nào dưới đây?",
23,0," Ở phần đường dành cho người đi bộ qua đường, trên cầu, đầu cầu, đường cao tốc, đường hẹp, đường dốc, tại nơi đường bộ giao nhau cùng mức với đường sắt có được quay đầu xe hay không?",
24,1,"Bạn đang lái xe, phía trước có một xe cảnh sát giao thông không phát tín hiệu ưu tiên bạn có được phép vượt hay không?",
25,1,"Bạn đang lái xe, phía trước có một xe cứu thương đang phát tín hiệu ưu tiên bạn có được phép vượt hay không?",
26,0," Người điều khiển xe mô tô hai bánh, ba bánh, xe gắn máy có được phép sử dụng xe để kéo hoặc đẩy các phương tiện khác khi tham gia giao thông không?",
27,0," Khi điều khiển xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy, những hành vi  buông cả hai tay; sử dụng xe để kéo, đây xe khác, vật khác; sử dụng chân chống của xe quệt xuống đường khi xe đang chạy có được phép hay không?",
28,0," Khi điều khiển xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy, những hành vi nào không được phép?",
29,0," Người ngồi trên xe mô tô hai bánh, ba bánh, xe gắn máy khi tham gia giao thông có được mang, vác vật cồng kềnh hay không?",
30,0," Người ngồi trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy khi tham gia giao thông có được bám, kéo hoặc đẩy các phương tiện khác không?",
31,0," Người ngồi trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy khi tham gia giao thông có được sử dụng ô khi trời mưa hay không ?",
32,1,Khi đang lên dốc người ngồi trên xe mô tô có được kéo theo người đang điều khiển xe đạp hay không?,
33,0," Hành vi sử dụng xe mô tô để kéo, đẩy xe mô tô khác bị hết xăng đến trạm mua xăng có được phép hay không?",
34,0," Hành vi vận chuyển đồ vật cồng kềnh bằng xe mô tô, xe gắn máy khi tham gia giao thông có được phép hay không?",
35,1,"Người đủ bao nhiêu tuổi trở lên thì được điều khiển xe mô tô hai bánh, xe mô tô ba bánh có dung tích xi lanh từ 50cm3 trở lên và các loại xe có kết câu tương tự; xe ô tô tải, máy kéo có trọng tải dưới 3.500 kg; xe ô tô chở người đến 9 chỗ ngồi?",
36,1,Người đủ 16 tuổi được điều khiển các loại xe nào dưới đây?,
37,0, Người có giấy phép lái xe mô tô hạng A1 không được phép điều khiển loại xe nào dưới đây?,
38,1,Người có giấy phép lái xe mô tô hạng A1 được phép điều khiển loại xe nào dưới đây?,
39,1,"Biển báo hiệu có dạng hình tròn, viền đỏ, nền trắng, trên nền có hình vẽ hoặc chữ số, chữ viết màu đen là loại biến gì dưới đây?",https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/39.webp
40,1,"Biển báo hiệu có dạng tam giác đều, viền đỏ, nền màu vàng, trên có hình vẽ màu đen là loại biển gì dưới đây?",https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/40.webp
41,1,Biển báo hiệu hình tròn có nền xanh lam có hình vẽ màu trắng loại biển gì dưới đây?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/41.webp
42,1,Biển báo hiệu hình chữ nhật hoặc hình vuông hoặc hình mũi tên nền xanh lam là loại biển gì dưới đây?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/42.webp
43,1,"Khi sử dụng giấy phép lái xe đã khai báo mắt để điều khiển phương tiện cơ giới đường bộ, ngoài việc bị thu hồi giấy phép lái xe, chịu trách nhiệm trước pháp luật, người lái xe không được cấp giấy phép lái xe trong thời gian bao nhiêu năm?",
44,1,Khi gặp hiệu lệnh như dưới đây của cảnh sát giao thông thì người tham gia giao thông phải đi như thế nào là đúng quy tắc giao thông?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/44.webp
45,1,Khi gặp hiệu lệnh như dưới đây của cảnh sát giao thông thì người tham gia giao thông phải đi như thế nào là đúng quy tắc giao thông?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/45.webp
46,1,Tại nơi có biển báo hiệu có định lại có báo hiệu tạm thời thì người tham gia giao thông phải chấp hành hiệu lệnh của báo hiệu nào?,
47,1,"Trên đường có nhiều làn đường cho xe đi cùng chiều được phân biệt bằng vạch kẻ phân làn đường, người điều khiển phương tiện phải cho xe đi như thế nào?",
48,1,"Trên đường một chiều có vạch kẻ phân làn đường, xe thô sơ và xe cơ giới phải đi như thế nào là đúng quy tắc giao thông?",
49,1,"Bạn đang lái xe trong khu vực đô thị từ 22 giờ đến 5 giờ sáng hôm sau và cần vượt một xe khác, bạn cần báo hiệu như thế nào để đảm bảo an toàn giao thông?",
50,1,Khi điều khiển xe chạy trên đường biết có xe sau xin vượt nếu đủ điều kiện an toàn người lái xe phải làm gì?,
51,1,"Khi muốn chuyển hướng, người lái xe phải thực hiện như thế nào để đảm bảo an toàn giao thông?",
52,1,"Khi tránh xe đi ngược chiều, các xe phải nhường đường như thế nào là đúng quy tắc giao thông?",
53,1,"Bạn đang lái xe trên đường hẹp, xuống dốc và gặp một xe đang đi lên dốc, bạn cần làm gì?",
54,1,"Tại nơi đường giao nhau, người lái xe đang đi trên đường không ưu tiên phải nhường đường như thế nào là đúng quy tắc giao thông?",
55,1,"Tại nơi đường giao nhau không có báo hiệu đi theo vòng xuyên, người điều khiển phương tiện phải nhường đường như thế nào là đúng quy tắc giao thông?",
56,1,"Tại nơi đường bộ giao nhau cùng mức với đường sắt chỉ có đèn tín hiệu hoặc chuông báo hiệu, khi đèn tín hiệu màu đỏ đã bật sáng hoặc có tiếng chuông báo hiệu, người tham gia giao thông phải dừng lại ngay và giữ khoảng cách tối thiểu bao nhiêu mét tính từ ray gần nhất?",
57,1,Người điều khiển phương tiện tham gia giao thông trong hầm đường bộ ngoài việc phải tuân thủ các quy tắc giao thông còn phải thực hiện những quy định nào dưới đây?,
58,0," Người ngồi trên xe mô tô 2 bánh, xe gắn máy phải đội mũ bảo hiểm có cài quai đúng quy cách khi nào?",
59,1,"Người điều khiển xe mô tô hai bánh, xe gắn máy được phép chở tối đa 2 người trong những trường hợp nào?",
60,1,"Người điều khiển xe mô tô hai bánh, xe gắn máy không được thực hiện những hành vi nào dưới đây?",
61,0," Người điều khiển xe mô tô hai bánh, xe gắn máy có được đi xe dàn hàng ngang; đi xe vào phần đường dành cho người đi bộ và phương tiện khác; sử dụng ô, điện thoại di động, thiết bị âm thanh (trừ thiết bị trợ thính) hay không?",
62,1,Người lái xe phải giảm tốc độ thấp hơn tốc độ tối đa cho phép (có thể dừng lại một cách an toàn) trong trường hợp nào dưới đây?,
63,1,"Tại ngã ba hoặc ngã tư không có đảo an toàn, người lái xe phải nhường đường như thế nào là đúng trong các trường hợp dưới đây?",
64,1,"Khi điều khiển xe cơ giới, người lái xe phải bật đèn tín hiệu báo rẽ trong trường hợp nào sau đây?",
65,1,"Trên đoạn đường hai chiêu không có giải phân cách giữa, người lái xe không được vượt xe khác trong các trường hợp nào dưới đây?",
66,1,Người lái xe mô tô xử lý như thế nào khi cho xe mô tô phía sau vượt?,
67,1,"Trong các trường hợp dưới đây, để đảm bảo an toàn khi tham gia giao thông, người lái xe mô tô cần thực hiện như thế nào?",
68,1,Đường bộ trong khu vực đông dân cư gồm những đoạn đường nào dưới đây?,
69,1,"Tốc độ tối đa cho phép đối với xe máy chuyên dùng, xe gắn máy (kể cả xe máy điện) và các loại xe tương tự trên đường bộ (trừ đường cao tốc) không được vượt quá",
70,1,"Trên đường bộ (trừ đường cao tốc) trong khu vực đông dân cư, đường đôi có dải phân cách giữa, xe mô tô hai bánh, ô tô chở người đến 30 chỗ tham gia giao thông với tốc độ tối đa cho phép là bao nhiêu?",
71,1,"Trên đường bộ (trừ đường cao tốc) trong khu vực đông dân cư, đường hai chiều không có dải phân cách giữa, xe mô tô hai bánh, ô tô chở người đến 30 chỗ tham gia giao thông với tốc độ tối đa cho phép là bao nhiêu?",
72,1,"Trên đường bộ (trừ đường cao tốc) trong khu vực đông dân cư, đường hai chiều hoặc đường một chiều có một làn xe cơ giới, loại xe nào dưới đây được tham gia giao thông với tốc độ tối đa cho phép là 50km/h?",
73,1,"Khi điều khiển xe chạy với tốc độ dưới 60 km/h, để đảm bảo khoảng cách an toàn giữa hai xe, người lái xe phải điều khiển xe như thế nào?",
74,1,"Người lái xe phải giảm tốc độ thấp hơn tốc độ tối đa cho phép đến mức cần thiết, chú ý quan sát và chuẩn bị sẵn sàng những tình huống có thế xảy ra để phòng ngừa tai nạn trong các trường hợp nào dưới đây?",
75,1,Các phương tiện tham gia giao thông đường bộ (kể cả những xe có quyền ưu tiên) đều phải dừng lại bên phải đường của mình và trước vạch “dừng xe” tại các điểm giao cắt giữa đường bộ và đường sắt khi có báo hiệu dừng nào dưới đây?,
76,1,Tác dụng của mũ bảo hiểm đối với người ngồi trên xe mô tô hai bánh trong trường hợp xảy ra tai nạn giao thông là gì?,
77,1,"Khi xe ô tô, mô tô đến gần vị trí giao nhau giữa đường bộ và đường sắt không có rào chắn, khi đèn tín hiệu màu đỏ đã bật sáng hoặc khi có tiếng chuông báo hiệu, người lái xe xử lý như thế nào?",
78,0, Người lái xe phải xử lý như thế nào khi quan sát phía trước thấy người đi bộ đang sang đường tại nơi có vạch đường dành cho người đi bộ để đảm bảo an toàn?,
79,1,"Theo Luật Giao thông đường bộ, tín hiệu đèn giao thông gồm 3 màu nào dưới đây?",
80,1,"Tại nơi đường giao nhau, khi đèn điều khiển giao thông có tín hiệu màu vàng, người điều khiển giao thông phải chấp hành như thế nào là đúng quy tắc giao thông?",
81,1,"Để báo hiệu cho xe phía trước biết xe mô tô của bạn muốn vượt, bạn phải có tín hiệu như thế nào dưới đây?",
82,1,Người điều khiển xe mô tô phải giảm tốc độ và hết sức thận trọng khi qua  những đoạn đường nào dưới đây?,
83,1,"Khi gặp xe buýt đang dừng đón, trả khách, người điều khiển xe mô tô phải xử lý như thế nào dưới đây để đảm bảo an toàn giao thông?",
84,2,Khái niệm về văn hóa giao thông được hiểu như thế nào là đúng?,
85,2,"Trong các hành vi dưới đây, người lái xe mô tô có văn hóa giao thông phải ứng xử như thế nào?",
86,2,"Trong các hành vi dưới đây, người lái xe ô tô, mô tô có văn hóa giao thông phải ứng xử như thế nào?",
87,2,"Khi xảy ra tai nạn giao thông, có người bị thương nghiêm trọng, người lái xe và người có mặt tại hiện trường vụ tai nạn phải thực hiện các công việc gì dưới đây?",
88,2,Trên đường đang xảy ra ùn tắc những hành vi nào sau đây là thiếu văn hóa khi tham gia giao thông?,
89,0," Khi điều khiển xe mô tô tay ga xuống đường dốc dài, độ dốc cao, người lái xe cần thực hiện các thao tác nào dưới đây để đảm bảo an toàn?",
90,3,"Khi quay đầu xe, người lái xe cần phải quan sát và thực hiện các thao tác nào để đảm bảo an toàn giao thông?",
91,3,"Khi tránh nhau trên đường hẹp, người lái xe cần phải chú ý những điểm nào để đảm bảo an toàn giao thông?",
92,3,Khi điều khiển xe trên đường vòng người lái xe cân phải làm gì để đảm bảo an toàn?,
93,3,"Đề đạt được hiệu quả phanh cao nhật, người lái xe mô tô phải sử dụng các kỹ năng như thế nào dưới đây?",
94,0," Khi đang lái xe mô tô và ô tô, nếu có nhu cầu sử dụng điện thoại để nhắn tin hoặc gọi điện, người lái xe phải thực hiện như thế nào trong các tình huống nêu dưới đây?",
95,3,Những thói quen nào dưới đây khi điều khiển xe mô tô tay ga tham gia giao thông dễ gây tai nạn nguy hiểm?,
96,3,Khi điều khiển xe mô tô quay đầu người lái xe cần thực hiện như thế nào để đảm bảo an toàn?,
97,3,Tay ga trên xe mô tô hai bánh có tác dụng gì trong các trường hợp dưới đây?,
98,3,"Gương chiếu hậu của xe mô tô hai bánh, có tác dụng gì trong các trường hợp dưới đây?",
99,3,"Để đảm bảo an toàn khi tham gia giao thông, người lái xe lái xe mô tô hai bánh cần điều khiển tay ga như thế nào trong các trường hợp dưới đây?",
100,3,Kỹ thuật cơ bản để giữ thăng bằng khi điều khiển xe mô tô đi trên đường gồ ghề như thế nào trong các trường hợp dưới đây?,
101,4,Biển nào dưới đây xe gắn máy được phép đi vào?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/101.webp
102,4,Biển nào báo hiệu cấm xe mô tô hai bánh đi vào?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/102.webp
103,4,Khi gặp biển nào thì xe mô tô hai bánh được đi vào?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/103.webp
104,4,Biển nào cấm quay đầu xe?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/104.webp
105,4,Biển nào cấm xe rẽ trái?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/105.webp
106,4,Khi gặp biển nào xe được rẽ trái?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/106.webp
107,4,Biển nào cấm các phương tiện giao thông đường bộ rẽ phải?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/107.webp
108,4,Biển nào cấm các phương tiện giao thông đường bộ rẽ trái?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/108.webp
109,4,Biển nào cho phép xe rẽ trái?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/109.webp
110,4,Biển nào xe quay đâu không bị cấm?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/110.webp
111,4,Biển nào xe được phép quay đầu nhưng không được rẽ trái?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/111.webp
112,4,Biển nào là biển “Cấm đi ngược chiều”?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/112.webp
113,4,Biên nào dưới đây các phương tiện không được phép đi vào?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/113.webp
114,4,Khi gặp biển nào xe ưu tiên theo luật định vẫn phải dừng lại?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/114.webp
115,4,"Biển nào cấm tất cả các loại xe cơ giới và thô sơ đi lại trên đường, trừ xe ưu tiên theo luật định (nếu đường vẫn cho xe chạy được)?",https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/115.webp
116,4,Gặp biển nào xe xích lô được phép đi vào?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/116.webp
117,4,"Gặp biển nào xe lam, xe xích lô máy được phép đi vào?",https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/117.webp
118,4,Biển báo này có ý nghĩa như thế nào?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/118.webp
119,4,"Chiều dài đoạn đường 500m từ nơi đặt biển này, người lái xe có được phép bấm còi không?",https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/119.webp
120,4,Biển nào xe mô tô hai bánh được đi vào?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/120.webp
121,4,Biển nào xe mô tô hai bánh không được đi vào?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/121.webp
122,4,"Biển báo nào báo hiệu bắt đầu đoạn đường vào phạm vi khu dân cư, các phương tiện tham gia giao thông phải tuân theo các quy định đi đường được áp dụng ở khu đông dân cư?",https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/122.webp
123,4,Gặp biển nào người lái xe phải nhường đường cho người đi bộ?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/123.webp
124,4,"Biển nào chỉ đường dành cho người đi bộ, các loại xe không được đi vào khi gặp biển này?",https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/124.webp
125,4,Biển nào báo hiệu “Đường dành cho xe thô sơ”?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/125.webp
126,4,Biển nào báo hiệu sắp đến chỗ giao nhau nguy hiểm?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/126.webp
127,4,Biên nào báo hiệu “Giao nhau với đường sắt có rào chắn”?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/127.webp
128,4,Biển nào báo hiệu “Giao nhau có tín hiệu đèn”?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/128.webp
129,4,Biển nào báo hiệu nguy hiểm giao nhau với đường sắt?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/129.webp
130,4,Biển nào báo hiệu đường sắt giao nhau với đường bộ không có rào chắn?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/130.webp
131,4,Biển nào báo hiệu sắp đến chỗ giao nhau giữa đường bộ và đường sắt?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/131.webp
132,4,"Biển nào báo hiệu, chỉ dẫn xe đi trên đường này được quyền ưu tiên qua nơi giao nhau?",https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/132.webp
133,4,Biển nào báo hiệu “Giao nhau với đường không ưu tiên”?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/133.webp
134,4,Biên nào báo hiệu “Giao nhau với đường ưu tiên”?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/134.webp
135,4,Biển nào báo hiệu “Đường bị thu hẹp”?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/135.webp
136,4,"Khi gặp biển nào, người lái xe phải giảm tốc độ, chú ý xe đi ngược chiều, xe đi ở phía đường bị hẹp phải nhường đường cho xe đi ngược chiều?",https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/136.webp
137,4,Biển nào báo hiệu “Đường giao nhau” của các tuyến đường cùng cấp?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/137.webp
138,4,Biển nào báo hiệu “Đường đôi”?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/138.webp
139,4,Biên nào báo hiệu “Đường đôi”?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/139.webp
140,4,Biển nào báo hiệu “Giao nhau với đường hai chiều”?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/140.webp
141,4,Biển nào báo hiệu “Đường hai chiều”?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/141.webp
142,4,Biển nào báo hiệu “Giao nhau với đường hai chiều”?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/142.webp
143,4,Biển nào báo hiệu “Chú ý chướng ngại vật”? Biển 1 Biển 2 Biển 3,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/143.webp
144,4,Gặp biển nào người tham gia giao thông phải đi chậm và thận trọng đề phòng khả năng xuất hiện và di chuyển bất ngờ của trẻ em trên mặt đường?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/144.webp
145,4,Biển nào chỉ dẫn nơi bắt đầu đoạn đường dành cho người,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/145.webp
146,4,Biển báo này có ý nghĩa gì?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/146.webp
147,4,"Biển nào (đặt trước ngã ba, ngã tư) cho phép xe được rẽ sang hướng khác?",https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/147.webp
148,4,Biển nào báo hiệu “Hướng đi thẳng phải theo” ?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/148.webp
149,4,Biển nào báo hiệu “Đường một chiều”?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/149.webp
150,4,Trong các biển dưới đây biển nào là biển “Hết tốc độ tối đa cho phép”?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/150.webp
151,4,Hiệu lực của biển “Tốc độ tối đa cho phép” hết tác dụng khi gặp biển nào dưới đây?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/151.webp
152,4,Trong các biển dưới đây biển nào là biển “Hết tốc độ tối thiểu” 2?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/152.webp
153,4,Biển nào dưới đây báo hiệu hết cấm vượt?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/153.webp
154,4,Trong các biển dưới đây biển nào là biển “Hết mọi lệnh cấm”?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/154.webp
155,4,Biển nào chỉ dẫn cho người đi bộ sử dụng cầu vượt qua đường?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/155.webp
156,4,Biển nào chỉ dẫn cho người đi bộ sử dụng hầm chui qua đường?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/156.webp
157,4,Biển nào báo hiệu “Nơi đỗ xe dành cho người khuyết tật”?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/157.webp
158,4,"Gặp biển báo này, người tham gia giao thông phải xử lý như thế nào?",https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/158.webp
159,4,Biển số 1 có ý nghĩa gì?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/159.webp
160,4,Vạch kẻ đường nào dưới đây là vạch phân chia các làn xe cùng chiều?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/160.webp
161,4,"Vạch kẻ đường nào dưới đây là vạch phân chia hai chiều xe chạy (vạch tim đường), xe không được lấn làn, không được đè lên vạch?",https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/161.webp
162,4,Vạch kẻ đường nào dưới đây là vạch phân chia hai chiều xe chạy (vạch tim đường)?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/162.webp
163,4,Các vạch dưới đây có tác dụng gì?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/163.webp
164,4,Khi gặp vạch kẻ đường nào các xe được phép đè vạch?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/164.webp
165,4,Vạch dưới đây có ý nghĩa gì?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/165.webp
166,5,Thứ tự các xe đi như thế nào là đúng quy tắc giao thông?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/166.webp
167,5,Thứ tự các xe đi như thế nào là đúng quy tắc giao thông?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/167.webp
168,5,Trường hợp này xe nào được quyền đi trước?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/168.webp
169,5,Xe nào được quyền đi trước trong trường hợp này?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/169.webp
170,5,"Theo tín hiệu đèn, xe nào được phép đi?",https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/170.webp
171,5,"Các xe đi theo hướng mũi tên, xe nào vi phạm quy tắc giao thông?",https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/171.webp
172,5,Thứ tự các xe đi như thế nào là đúng quy tắc giao thông?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/172.webp
173,5,Trong trường hợp này xe nào đỗ vi phạm quy tắc giao thông?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/173.webp
174,5,"Theo hướng mũi tên, những hướng nào xe gắn máy đi được?",https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/174.webp
175,5,Xe nào đỗ vi phạm quy tắc giao thông?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/175.webp
176,5,Xe nào đỗ vi phạm quy tắc giao thông?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/176.webp
177,5,Xe tải kéo mô tô ba bánh như hình này có đúng quy tắc giao thông không?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/177.webp
178,5,Xe nào được quyền đi trước trong trường hợp này?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/178.webp
179,5,Thứ tự các xe đi như thế nào là đúng quy tắc giao thông?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/179.webp
180,5,Xe nào được quyền đi trước trong trường hợp này?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/180.webp
181,5,Xe nào vi phạm quy tắc giao thông?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/181.webp
182,5,Các xe đi như thế nào là đúng quy tắc giao thông?,https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/182.webp
183,5,"Theo hướng mũi tên, xe nào được phép đi?",https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/183.webp
184,5,"Trong hình dưới đây, xe nào chấp hành đúng quy tắc giao thông?",https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/184.webp
185,5,"Theo hướng mũi tên, những hướng nào xe mô tô được phép đi?",https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/185.webp
186,5,"Trong trường hợp này, thứ tự xe đi như thế nào là đúng quy tắc giao thông?",https://res.cloudinary.com/dm2nj7sub/image/upload/v1727680688/img_moto/186.webp
