id,type,content,URL
22,1,"Trong trường hợp đặc biệt, để được lắp đặt, sử dụng còi, đèn không đúng với thiết kế của nhà sản xuất đối với từng loại xe cơ giới bạn phải đảm bảo yêu cầu nào dưới đây?",
23,0," Ở phần đường dành cho người đi bộ qua đường, trên cầu, đầu cầu, đường cao tốc, đường hẹp, đường dốc, tại nơi đường bộ giao nhau cùng mức với đường sắt có được quay đầu xe hay không?",
24,1,"Bạn đang lái xe, phía trước có một xe cảnh sát giao thông không phát tín hiệu ưu tiên bạn có được phép vượt hay không?",
25,1,"Bạn đang lái xe, phía trước có một xe cứu thương đang phát tín hiệu ưu tiên bạn có được phép vượt hay không?",
26,0," Người điều khiển xe mô tô hai bánh, ba bánh, xe gắn máy có được phép sử dụng xe để kéo hoặc đẩy các phương tiện khác khi tham gia giao thông không?",
27,0," Khi điều khiển xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy, những hành vi  buông cả hai tay; sử dụng xe để kéo, đây xe khác, vật khác; sử dụng chân chống của xe quệt xuống đường khi xe đang chạy có được phép hay không?",
28,0," Khi điều khiển xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy, những hành vi nào không được phép?",
29,0," Người ngồi trên xe mô tô hai bánh, ba bánh, xe gắn máy khi tham gia giao thông có được mang, vác vật cồng kềnh hay không?",
30,0," Người ngồi trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy khi tham gia giao thông có được bám, kéo hoặc đẩy các phương tiện khác không?",
31,0," Người ngồi trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy khi tham gia giao thông có được sử dụng ô khi trời mưa hay không ?",
32,1,Khi đang lên dốc người ngồi trên xe mô tô có được kéo theo người đang điều khiển xe đạp hay không?,
33,0," Hành vi sử dụng xe mô tô để kéo, đẩy xe mô tô khác bị hết xăng đến trạm mua xăng có được phép hay không?",
34,0," Hành vi vận chuyển đồ vật cồng kềnh bằng xe mô tô, xe gắn máy khi tham gia giao thông có được phép hay không?",
35,1,"Người đủ bao nhiêu tuổi trở lên thì được điều khiển xe mô tô hai bánh, xe mô tô ba bánh có dung tích xi lanh từ 50cm3 trở lên và các loại xe có kết câu tương tự; xe ô tô tải, máy kéo có trọng tải dưới 3.500 kg; xe ô tô chở người đến 9 chỗ ngồi?",
36,1,Người đủ 16 tuổi được điều khiển các loại xe nào dưới đây?,
37,0, Người có giấy phép lái xe mô tô hạng A1 không được phép điều khiển loại xe nào dưới đây?,
38,1,Người có giấy phép lái xe mô tô hạng A1 được phép điều khiển loại xe nào dưới đây?,
39,1,"Biển báo hiệu có dạng hình tròn, viền đỏ, nền trắng, trên nền có hình vẽ hoặc chữ số, chữ viết màu đen là loại biến gì dưới đây?",D:/New folder/data_img_moto/Câu 39.jpg
40,1,"Biển báo hiệu có dạng tam giác đều, viền đỏ, nền màu vàng, trên có hình vẽ màu đen là loại biển gì dưới đây?",D:/New folder/data_img_moto/Câu 40.jpg
41,1,Biển báo hiệu hình tròn có nền xanh lam có hình vẽ màu trắng loại biển gì dưới đây?,D:/New folder/data_img_moto/Câu 41.jpg
42,1,Biển báo hiệu hình chữ nhật hoặc hình vuông hoặc hình mũi tên nền xanh lam là loại biển gì dưới đây?,D:/New folder/data_img_moto/Câu 42.jpg
43,1,"Khi sử dụng giấy phép lái xe đã khai báo mắt để điều khiển phương tiện cơ giới đường bộ, ngoài việc bị thu hồi giấy phép lái xe, chịu trách nhiệm trước pháp luật, người lái xe không được cấp giấy phép lái xe trong thời gian bao nhiêu năm?",
44,1,Khi gặp hiệu lệnh như dưới đây của cảnh sát giao thông thì người tham gia giao thông phải đi như thế nào là đúng quy tắc giao thông?,D:/New folder/data_img_moto/Câu 44.jpg
45,1,Khi gặp hiệu lệnh như dưới đây của cảnh sát giao thông thì người tham gia giao thông phải đi như thế nào là đúng quy tắc giao thông?,D:/New folder/data_img_moto/Câu 45.jpg
46,1,Tại nơi có biển báo hiệu có định lại có báo hiệu tạm thời thì người tham gia giao thông phải chấp hành hiệu lệnh của báo hiệu nào?,
47,1,"Trên đường có nhiều làn đường cho xe đi cùng chiều được phân biệt bằng vạch kẻ phân làn đường, người điều khiển phương tiện phải cho xe đi như thế nào?",
48,1,"Trên đường một chiều có vạch kẻ phân làn đường, xe thô sơ và xe cơ giới phải đi như thế nào là đúng quy tắc giao thông?",
49,1,"Bạn đang lái xe trong khu vực đô thị từ 22 giờ đến 5 giờ sáng hôm sau và cần vượt một xe khác, bạn cần báo hiệu như thế nào để đảm bảo an toàn giao thông?",
50,1,Khi điều khiển xe chạy trên đường biết có xe sau xin vượt nếu đủ điều kiện an toàn người lái xe phải làm gì?,
51,1,"Khi muốn chuyển hướng, người lái xe phải thực hiện như thế nào để đảm bảo an toàn giao thông?",
52,1,"Khi tránh xe đi ngược chiều, các xe phải nhường đường như thế nào là đúng quy tắc giao thông?",
53,1,"Bạn đang lái xe trên đường hẹp, xuống dốc và gặp một xe đang đi lên dốc, bạn cần làm gì?",
54,1,"Tại nơi đường giao nhau, người lái xe đang đi trên đường không ưu tiên phải nhường đường như thế nào là đúng quy tắc giao thông?",
55,1,"Tại nơi đường giao nhau không có báo hiệu đi theo vòng xuyên, người điều khiển phương tiện phải nhường đường như thế nào là đúng quy tắc giao thông?",
56,1,"Tại nơi đường bộ giao nhau cùng mức với đường sắt chỉ có đèn tín hiệu hoặc chuông báo hiệu, khi đèn tín hiệu màu đỏ đã bật sáng hoặc có tiếng chuông báo hiệu, người tham gia giao thông phải dừng lại ngay và giữ khoảng cách tối thiểu bao nhiêu mét tính từ ray gần nhất?",
57,1,Người điều khiển phương tiện tham gia giao thông trong hầm đường bộ ngoài việc phải tuân thủ các quy tắc giao thông còn phải thực hiện những quy định nào dưới đây?,
58,0," Người ngồi trên xe mô tô 2 bánh, xe gắn máy phải đội mũ bảo hiểm có cài quai đúng quy cách khi nào?",
59,1,"Người điều khiển xe mô tô hai bánh, xe gắn máy được phép chở tối đa 2 người trong những trường hợp nào?",
60,1,"Người điều khiển xe mô tô hai bánh, xe gắn máy không được thực hiện những hành vi nào dưới đây?",
61,0," Người điều khiển xe mô tô hai bánh, xe gắn máy có được đi xe dàn hàng ngang; đi xe vào phần đường dành cho người đi bộ và phương tiện khác; sử dụng ô, điện thoại di động, thiết bị âm thanh (trừ thiết bị trợ thính) hay không?",
62,1,Người lái xe phải giảm tốc độ thấp hơn tốc độ tối đa cho phép (có thể dừng lại một cách an toàn) trong trường hợp nào dưới đây?,
63,1,"Tại ngã ba hoặc ngã tư không có đảo an toàn, người lái xe phải nhường đường như thế nào là đúng trong các trường hợp dưới đây?",
64,1,"Khi điều khiển xe cơ giới, người lái xe phải bật đèn tín hiệu báo rẽ trong trường hợp nào sau đây?",
65,1,"Trên đoạn đường hai chiêu không có giải phân cách giữa, người lái xe không được vượt xe khác trong các trường hợp nào dưới đây?",
66,1,Người lái xe mô tô xử lý như thế nào khi cho xe mô tô phía sau vượt?,
67,1,"Trong các trường hợp dưới đây, để đảm bảo an toàn khi tham gia giao thông, người lái xe mô tô cần thực hiện như thế nào?",
68,1,Đường bộ trong khu vực đông dân cư gồm những đoạn đường nào dưới đây?,
69,1,"Tốc độ tối đa cho phép đối với xe máy chuyên dùng, xe gắn máy (kể cả xe máy điện) và các loại xe tương tự trên đường bộ (trừ đường cao tốc) không được vượt quá",
70,1,"Trên đường bộ (trừ đường cao tốc) trong khu vực đông dân cư, đường đôi có dải phân cách giữa, xe mô tô hai bánh, ô tô chở người đến 30 chỗ tham gia giao thông với tốc độ tối đa cho phép là bao nhiêu?",
71,1,"Trên đường bộ (trừ đường cao tốc) trong khu vực đông dân cư, đường hai chiều không có dải phân cách giữa, xe mô tô hai bánh, ô tô chở người đến 30 chỗ tham gia giao thông với tốc độ tối đa cho phép là bao nhiêu?",
72,1,"Trên đường bộ (trừ đường cao tốc) trong khu vực đông dân cư, đường hai chiều hoặc đường một chiều có một làn xe cơ giới, loại xe nào dưới đây được tham gia giao thông với tốc độ tối đa cho phép là 50km/h?",
73,1,"Khi điều khiển xe chạy với tốc độ dưới 60 km/h, để đảm bảo khoảng cách an toàn giữa hai xe, người lái xe phải điều khiển xe như thế nào?",
74,1,"Người lái xe phải giảm tốc độ thấp hơn tốc độ tối đa cho phép đến mức cần thiết, chú ý quan sát và chuẩn bị sẵn sàng những tình huống có thế xảy ra để phòng ngừa tai nạn trong các trường hợp nào dưới đây?",
75,1,Các phương tiện tham gia giao thông đường bộ (kể cả những xe có quyền ưu tiên) đều phải dừng lại bên phải đường của mình và trước vạch “dừng xe” tại các điểm giao cắt giữa đường bộ và đường sắt khi có báo hiệu dừng nào dưới đây?,
76,1,Tác dụng của mũ bảo hiểm đối với người ngồi trên xe mô tô hai bánh trong trường hợp xảy ra tai nạn giao thông là gì?,
77,1,"Khi xe ô tô, mô tô đến gần vị trí giao nhau giữa đường bộ và đường sắt không có rào chắn, khi đèn tín hiệu màu đỏ đã bật sáng hoặc khi có tiếng chuông báo hiệu, người lái xe xử lý như thế nào?",
78,0, Người lái xe phải xử lý như thế nào khi quan sát phía trước thấy người đi bộ đang sang đường tại nơi có vạch đường dành cho người đi bộ để đảm bảo an toàn?,
79,1,"Theo Luật Giao thông đường bộ, tín hiệu đèn giao thông gồm 3 màu nào dưới đây?",
80,1,"Tại nơi đường giao nhau, khi đèn điều khiển giao thông có tín hiệu màu vàng, người điều khiển giao thông phải chấp hành như thế nào là đúng quy tắc giao thông?",
81,1,"Để báo hiệu cho xe phía trước biết xe mô tô của bạn muốn vượt, bạn phải có tín hiệu như thế nào dưới đây?",
82,1,Người điều khiển xe mô tô phải giảm tốc độ và hết sức thận trọng khi qua  những đoạn đường nào dưới đây?,
83,1,"Khi gặp xe buýt đang dừng đón, trả khách, người điều khiển xe mô tô phải xử lý như thế nào dưới đây để đảm bảo an toàn giao thông?",
84,2,Khái niệm về văn hóa giao thông được hiểu như thế nào là đúng?,
85,2,"Trong các hành vi dưới đây, người lái xe mô tô có văn hóa giao thông phải ứng xử như thế nào?",
86,2,"Trong các hành vi dưới đây, người lái xe ô tô, mô tô có văn hóa giao thông phải ứng xử như thế nào?",
87,2,"Khi xảy ra tai nạn giao thông, có người bị thương nghiêm trọng, người lái xe và người có mặt tại hiện trường vụ tai nạn phải thực hiện các công việc gì dưới đây?",
88,2,Trên đường đang xảy ra ùn tắc những hành vi nào sau đây là thiếu văn hóa khi tham gia giao thông?,
89,0," Khi điều khiển xe mô tô tay ga xuống đường dốc dài, độ dốc cao, người lái xe cần thực hiện các thao tác nào dưới đây để đảm bảo an toàn?",
90,3,"Khi quay đầu xe, người lái xe cần phải quan sát và thực hiện các thao tác nào để đảm bảo an toàn giao thông?",
91,3,"Khi tránh nhau trên đường hẹp, người lái xe cần phải chú ý những điểm nào để đảm bảo an toàn giao thông?",
92,3,Khi điều khiển xe trên đường vòng người lái xe cân phải làm gì để đảm bảo an toàn?,
93,3,"Đề đạt được hiệu quả phanh cao nhật, người lái xe mô tô phải sử dụng các kỹ năng như thế nào dưới đây?",
94,0," Khi đang lái xe mô tô và ô tô, nếu có nhu cầu sử dụng điện thoại để nhắn tin hoặc gọi điện, người lái xe phải thực hiện như thế nào trong các tình huống nêu dưới đây?",
95,3,Những thói quen nào dưới đây khi điều khiển xe mô tô tay ga tham gia giao thông dễ gây tai nạn nguy hiểm?,
96,3,Khi điều khiển xe mô tô quay đầu người lái xe cần thực hiện như thế nào để đảm bảo an toàn?,
97,3,Tay ga trên xe mô tô hai bánh có tác dụng gì trong các trường hợp dưới đây?,
98,3,"Gương chiếu hậu của xe mô tô hai bánh, có tác dụng gì trong các trường hợp dưới đây?",
99,3,"Để đảm bảo an toàn khi tham gia giao thông, người lái xe lái xe mô tô hai bánh cần điều khiển tay ga như thế nào trong các trường hợp dưới đây?",
100,3,Kỹ thuật cơ bản để giữ thăng bằng khi điều khiển xe mô tô đi trên đường gồ ghề như thế nào trong các trường hợp dưới đây?,
101,4,Biển nào dưới đây xe gắn máy được phép đi vào?,D:/New folder/data_img_moto/Câu 101.jpg
102,4,Biển nào báo hiệu cấm xe mô tô hai bánh đi vào?,D:/New folder/data_img_moto/Câu 102.jpg
103,4,Khi gặp biển nào thì xe mô tô hai bánh được đi vào?,D:/New folder/data_img_moto/Câu 103.jpg
104,4,Biển nào cấm quay đầu xe?,D:/New folder/data_img_moto/Câu 104.jpg
105,4,Biển nào cấm xe rẽ trái?,D:/New folder/data_img_moto/Câu 105.jpg
106,4,Khi gặp biển nào xe được rẽ trái?,D:/New folder/data_img_moto/Câu 106.jpg
107,4,Biển nào cấm các phương tiện giao thông đường bộ rẽ phải?,D:/New folder/data_img_moto/Câu 107.jpg
108,4,Biển nào cấm các phương tiện giao thông đường bộ rẽ trái?,D:/New folder/data_img_moto/Câu 108.jpg
109,4,Biển nào cho phép xe rẽ trái?,D:/New folder/data_img_moto/Câu 109.jpg
110,4,Biển nào xe quay đâu không bị cấm?,D:/New folder/data_img_moto/Câu 110.jpg
111,4,Biển nào xe được phép quay đầu nhưng không được rẽ trái?,D:/New folder/data_img_moto/Câu 111.jpg
112,4,Biển nào là biển “Cấm đi ngược chiều”?,D:/New folder/data_img_moto/Câu 112.jpg
113,4,Biên nào dưới đây các phương tiện không được phép đi vào?,D:/New folder/data_img_moto/Câu 113.jpg
114,4,Khi gặp biển nào xe ưu tiên theo luật định vẫn phải dừng lại?,D:/New folder/data_img_moto/Câu 114.jpg
115,4,"Biển nào cấm tất cả các loại xe cơ giới và thô sơ đi lại trên đường, trừ xe ưu tiên theo luật định (nếu đường vẫn cho xe chạy được)?",D:/New folder/data_img_moto/Câu 115.jpg
116,4,Gặp biển nào xe xích lô được phép đi vào?,D:/New folder/data_img_moto/Câu 116.jpg
117,4,"Gặp biển nào xe lam, xe xích lô máy được phép đi vào?",D:/New folder/data_img_moto/Câu 117.jpg
118,4,Biển báo này có ý nghĩa như thế nào?,D:/New folder/data_img_moto/Câu 118.jpg
119,4,"Chiều dài đoạn đường 500m từ nơi đặt biển này, người lái xe có được phép bấm còi không?",D:/New folder/data_img_moto/Câu 119.jpg
120,4,Biển nào xe mô tô hai bánh được đi vào?,D:/New folder/data_img_moto/Câu 120.jpg
121,4,Biển nào xe mô tô hai bánh không được đi vào?,D:/New folder/data_img_moto/Câu 121.jpg
122,4,"Biển báo nào báo hiệu bắt đầu đoạn đường vào phạm vi khu dân cư, các phương tiện tham gia giao thông phải tuân theo các quy định đi đường được áp dụng ở khu đông dân cư?",D:/New folder/data_img_moto/Câu 122.jpg
123,4,Gặp biển nào người lái xe phải nhường đường cho người đi bộ?,D:/New folder/data_img_moto/Câu 123.jpg
124,4,"Biển nào chỉ đường dành cho người đi bộ, các loại xe không được đi vào khi gặp biển này?",D:/New folder/data_img_moto/Câu 124.jpg
125,4,Biển nào báo hiệu “Đường dành cho xe thô sơ”?,D:/New folder/data_img_moto/Câu 125.jpg
126,4,Biển nào báo hiệu sắp đến chỗ giao nhau nguy hiểm?,D:/New folder/data_img_moto/Câu 126.jpg
127,4,Biên nào báo hiệu “Giao nhau với đường sắt có rào chắn”?,D:/New folder/data_img_moto/Câu 127.jpg
128,4,Biển nào báo hiệu “Giao nhau có tín hiệu đèn”?,D:/New folder/data_img_moto/Câu 128.jpg
129,4,Biển nào báo hiệu nguy hiểm giao nhau với đường sắt?,D:/New folder/data_img_moto/Câu 129.jpg
130,4,Biển nào báo hiệu đường sắt giao nhau với đường bộ không có rào chắn?,D:/New folder/data_img_moto/Câu 130.jpg
131,4,Biển nào báo hiệu sắp đến chỗ giao nhau giữa đường bộ và đường sắt?,D:/New folder/data_img_moto/Câu 131.jpg
132,4,"Biển nào báo hiệu, chỉ dẫn xe đi trên đường này được quyền ưu tiên qua nơi giao nhau?",D:/New folder/data_img_moto/Câu 132.jpg
133,4,Biển nào báo hiệu “Giao nhau với đường không ưu tiên”?,D:/New folder/data_img_moto/Câu 133.jpg
134,4,Biên nào báo hiệu “Giao nhau với đường ưu tiên”?,D:/New folder/data_img_moto/Câu 134.jpg
135,4,Biển nào báo hiệu “Đường bị thu hẹp”?,D:/New folder/data_img_moto/Câu 135.jpg
136,4,"Khi gặp biển nào, người lái xe phải giảm tốc độ, chú ý xe đi ngược chiều, xe đi ở phía đường bị hẹp phải nhường đường cho xe đi ngược chiều?",D:/New folder/data_img_moto/Câu 136.jpg
137,4,Biển nào báo hiệu “Đường giao nhau” của các tuyến đường cùng cấp?,D:/New folder/data_img_moto/Câu 137.jpg
138,4,Biển nào báo hiệu “Đường đôi”?,D:/New folder/data_img_moto/Câu 138.jpg
139,4,Biên nào báo hiệu “Đường đôi”?,D:/New folder/data_img_moto/Câu 139.jpg
140,4,Biển nào báo hiệu “Giao nhau với đường hai chiều”?,D:/New folder/data_img_moto/Câu 140.jpg
141,4,Biển nào báo hiệu “Đường hai chiều”?,D:/New folder/data_img_moto/Câu 141.jpg
142,4,Biển nào báo hiệu “Giao nhau với đường hai chiều”?,D:/New folder/data_img_moto/Câu 142.jpg
143,4,Biển nào báo hiệu “Chú ý chướng ngại vật”? Biển 1 Biển 2 Biển 3,D:/New folder/data_img_moto/Câu 143.jpg
144,4,Gặp biển nào người tham gia giao thông phải đi chậm và thận trọng đề phòng khả năng xuất hiện và di chuyển bất ngờ của trẻ em trên mặt đường?,D:/New folder/data_img_moto/Câu 144.jpg
145,4,Biển nào chỉ dẫn nơi bắt đầu đoạn đường dành cho người,D:/New folder/data_img_moto/Câu 145.jpg
146,4,Biển báo này có ý nghĩa gì?,D:/New folder/data_img_moto/Câu 146.jpg
147,4,"Biển nào (đặt trước ngã ba, ngã tư) cho phép xe được rẽ sang hướng khác?",D:/New folder/data_img_moto/Câu 147.jpg
148,4,Biển nào báo hiệu “Hướng đi thẳng phải theo” ?,D:/New folder/data_img_moto/Câu 148.jpg
149,4,Biển nào báo hiệu “Đường một chiều”?,D:/New folder/data_img_moto/Câu 149.jpg
150,4,Trong các biển dưới đây biển nào là biển “Hết tốc độ tối đa cho phép”?,D:/New folder/data_img_moto/Câu 150.jpg
151,4,Hiệu lực của biển “Tốc độ tối đa cho phép” hết tác dụng khi gặp biển nào dưới đây?,D:/New folder/data_img_moto/Câu 151.jpg
152,4,Trong các biển dưới đây biển nào là biển “Hết tốc độ tối thiểu” 2?,D:/New folder/data_img_moto/Câu 152.jpg
153,4,Biển nào dưới đây báo hiệu hết cấm vượt?,D:/New folder/data_img_moto/Câu 153.jpg
154,4,Trong các biển dưới đây biển nào là biển “Hết mọi lệnh cấm”?,D:/New folder/data_img_moto/Câu 154.jpg
155,4,Biển nào chỉ dẫn cho người đi bộ sử dụng cầu vượt qua đường?,D:/New folder/data_img_moto/Câu 155.jpg
156,4,Biển nào chỉ dẫn cho người đi bộ sử dụng hầm chui qua đường?,D:/New folder/data_img_moto/Câu 156.jpg
157,4,Biển nào báo hiệu “Nơi đỗ xe dành cho người khuyết tật”?,D:/New folder/data_img_moto/Câu 157.jpg
158,4,"Gặp biển báo này, người tham gia giao thông phải xử lý như thế nào?",D:/New folder/data_img_moto/Câu 158.jpg
159,4,Biển số 1 có ý nghĩa gì?,D:/New folder/data_img_moto/Câu 159.jpg
160,4,Vạch kẻ đường nào dưới đây là vạch phân chia các làn xe cùng chiều?,D:/New folder/data_img_moto/Câu 160.jpg
161,4,"Vạch kẻ đường nào dưới đây là vạch phân chia hai chiều xe chạy (vạch tim đường), xe không được lấn làn, không được đè lên vạch?",D:/New folder/data_img_moto/Câu 161.jpg
162,4,Vạch kẻ đường nào dưới đây là vạch phân chia hai chiều xe chạy (vạch tim đường)?,D:/New folder/data_img_moto/Câu 162.jpg
163,4,Các vạch dưới đây có tác dụng gì?,D:/New folder/data_img_moto/Câu 163.jpg
164,4,Khi gặp vạch kẻ đường nào các xe được phép đè vạch?,D:/New folder/data_img_moto/Câu 164.jpg
165,4,Vạch dưới đây có ý nghĩa gì?,D:/New folder/data_img_moto/Câu 165.jpg
166,5,Thứ tự các xe đi như thế nào là đúng quy tắc giao thông?,D:/New folder/data_img_moto/Câu 166.jpg
167,5,Thứ tự các xe đi như thế nào là đúng quy tắc giao thông?,D:/New folder/data_img_moto/Câu 167.jpg
168,5,Trường hợp này xe nào được quyền đi trước?,D:/New folder/data_img_moto/Câu 168.jpg
169,5,Xe nào được quyền đi trước trong trường hợp này?,D:/New folder/data_img_moto/Câu 169.jpg
170,5,"Theo tín hiệu đèn, xe nào được phép đi?",D:/New folder/data_img_moto/Câu 170.jpg
171,5,"Các xe đi theo hướng mũi tên, xe nào vi phạm quy tắc giao thông?",D:/New folder/data_img_moto/Câu 171.jpg
172,5,Thứ tự các xe đi như thế nào là đúng quy tắc giao thông?,D:/New folder/data_img_moto/Câu 172.jpg
173,5,Trong trường hợp này xe nào đỗ vi phạm quy tắc giao thông?,D:/New folder/data_img_moto/Câu 173.jpg
174,5,"Theo hướng mũi tên, những hướng nào xe gắn máy đi được?",D:/New folder/data_img_moto/Câu 174.jpg
175,5,Xe nào đỗ vi phạm quy tắc giao thông?,D:/New folder/data_img_moto/Câu 175.jpg
176,5,Xe nào đỗ vi phạm quy tắc giao thông?,D:/New folder/data_img_moto/Câu 176.jpg
177,5,Xe tải kéo mô tô ba bánh như hình này có đúng quy tắc giao thông không?,D:/New folder/data_img_moto/Câu 177.jpg
178,5,Xe nào được quyền đi trước trong trường hợp này?,D:/New folder/data_img_moto/Câu 178.jpg
179,5,Thứ tự các xe đi như thế nào là đúng quy tắc giao thông?,D:/New folder/data_img_moto/Câu 179.jpg
180,5,Xe nào được quyền đi trước trong trường hợp này?,D:/New folder/data_img_moto/Câu 180.jpg
181,5,Xe nào vi phạm quy tắc giao thông?,D:/New folder/data_img_moto/Câu 181.jpg
182,5,Các xe đi như thế nào là đúng quy tắc giao thông?,D:/New folder/data_img_moto/Câu 182.jpg
183,5,"Theo hướng mũi tên, xe nào được phép đi?",D:/New folder/data_img_moto/Câu 183.jpg
184,5,"Trong hình dưới đây, xe nào chấp hành đúng quy tắc giao thông?",D:/New folder/data_img_moto/Câu 184.jpg
185,5,"Theo hướng mũi tên, những hướng nào xe mô tô được phép đi?",D:/New folder/data_img_moto/Câu 185.jpg
186,5,"Trong trường hợp này, thứ tự xe đi như thế nào là đúng quy tắc giao thông?",D:/New folder/data_img_moto/Câu 186.jpg
187,5,"Trong hình dưới, những xe nào vi phạm quy tắc giao thông?",D:/New folder/data_img_moto/Câu 187.jpg
188,5,"Trong hình dưới, những xe nào vi phạm quy tắc giao thông?",D:/New folder/data_img_moto/Câu 188.jpg
189,5,Bạn có được phép vượt xe mô tô phía trước không?,D:/New folder/data_img_moto/Câu 189.jpg
190,5,"Theo tín hiệu đèn của xe cơ giới, xe nào vi phạm quy tắc giao thông?",D:/New folder/data_img_moto/Câu 190.jpg
191,5,"Các xe đi theo hướng mũi tên, xe nào vi phạm quy tắc giao thông?",D:/New folder/data_img_moto/Câu 191.jpg
192,5,"Các xe đi theo hướng mũi tên, xe nào vi phạm quy tắc giao thông?",D:/New folder/data_img_moto/Câu 192.jpg
193,5,"Các xe đi theo hướng mũi tên, xe nào vi phạm quy tắc giao thông?",D:/New folder/data_img_moto/Câu 193.jpg
194,5,"Các xe đi theo hướng mũi tên, xe nào chấp hành đúng quy tắc giao thông?",D:/New folder/data_img_moto/Câu 194.jpg
195,5,Các xe đi theo thứ tự nào là đúng quy tắc giao thông đường bộ?,D:/New folder/data_img_moto/Câu 195.jpg
196,5,Các xe đi theo thứ tự nào là đúng quy tắc giao thông đường bộ?,D:/New folder/data_img_moto/Câu 196.jpg
197,5,Bạn xử lý như thế nào trong trường hợp này?,D:/New folder/data_img_moto/Câu 197.jpg
198,5,Xe nào dừng đúng theo quy tắc giao thông?,D:/New folder/data_img_moto/Câu 198.jpg
199,5,"Xe của bạn đang di chuyển gần đến khu vực giao cắt với đường sắt, khi rào chắn đang dịch chuyển, bạn điều khiển xe như thế nào là đúng quy tắc giao thông?",D:/New folder/data_img_moto/Câu 199.jpg
200,5,"Trong tình huống dưới đây, xe đầu kéo kéo rơ moóc (xe container) đang rẽ phải, xe con màu Xanh và xe máy phía Sau xe contain đi như thế nào để đảm bảo an toàn?",D:/New folder/data_img_moto/Câu 200.jpg
